alarm_id,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00
CC66.Bin_BLeft_Full,0.0,0.0,371.375,253.79399999999998,200.691,75.054,471.808,1287.515,110.081,160.126,359.36800000000005,869.567,778.107,470.83900000000006,500.322,977.907,914.635,53.089999999999996,2164.6609999999996,796.068,929.7660000000001,790.305,424.327,160.107
CC66.Bin_BRight_Full,0.0,0.0,954.9889999999999,370.413,230.268,190.127,695.542,925.7810000000001,175.112,40.014,275.12600000000003,445.338,460.326,505.365,680.54,1012.0640000000001,1403.024,75.072,1505.145,715.642,1070.0919999999999,1105.057,435.26099999999997,1100.808
CC67.Bin_BRight_Full,0.0,0.0,830.8500000000001,360.38300000000004,275.46,273.007,139.578,554.799,0.0,0.0,225.129,524.338,130.104,175.177,75.11,65.038,0.0,55.044,235.162,360.297,505.946,663.1469999999999,0.0,0.0
CC68.Bin_BLeft_Full,0.0,0.0,408.019,391.88,75.056,365.338,225.212,690.529,0.0,105.081,180.152,454.31100000000004,490.853,559.925,45.051,225.18699999999998,805.697,0.0,70.036,230.22899999999998,714.679,150.121,100.112,0.0
CC68.Bin_BRight_Full,0.0,0.0,374.459,89.153,139.154,90.071,119.08,90.053,320.155,60.096,585.385,120.026,275.192,619.244,110.298,320.16999999999996,65.026,0.0,90.119,529.572,55.063,430.511,40.079,200.157
CC69.Bin_BRight_Full,0.0,0.0,130.708,414.794,50.037,160.12,0.0,264.188,0.0,0.0,90.04,0.0,60.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.227,0.0,0.0
CC70.Bin_BLeft_Full,0.0,0.0,558.217,532.049,55.015,340.289,40.104,300.223,0.0,235.196,135.142,95.102,85.008,345.24199999999996,85.042,270.177,55.01,30.053,0.0,575.622,645.862,539.028,99.985,35.042
CC70.Bin_BRight_Full,0.0,0.0,105.075,400.523,295.25,785.608,250.223,185.127,40.029,210.196,35.033,170.059,120.085,165.128,160.119,225.25099999999998,119.061,0.0,110.06,175.498,723.3109999999999,495.382,394.10900000000004,1175.058
CC71.Bin_BRight_Full,0.0,0.0,270.225,100.107,14.987,1335.161,285.177,709.65,0.0,0.0,84.106,0.0,0.0,260.226,0.0,205.208,0.0,0.0,0.0,0.0,55.069,265.2,0.0,0.0
CC72.Bin_BLeft_Full,0.0,0.0,1024.609,986.575,830.838,1014.69,670.487,980.756,90.044,50.02,185.17900000000003,495.26599999999996,500.33099999999996,260.157,495.39700000000005,355.319,70.102,225.131,1069.9160000000002,715.59,1007.335,678.1659999999999,160.083,465.295
CC72.Bin_BRight_Full,0.0,0.0,1455.083,1016.555,255.872,850.687,560.341,789.242,1.332,194.155,337.899,142.436,590.391,390.297,145.132,270.124,105.06099999999999,115.082,580.4960000000001,447.75399999999996,747.1670000000001,411.972,272.672,1094.6870000000001
CC73.Bin_BRight_Full,0.0,0.0,7.6370000000000005,703.173,154.221,75.073,55.093,0.0,30.013,0.0,40.042,0.0,34.989,0.0,0.0,105.09,0.0,0.0,85.102,0.0,0.0,230.077,0.0,0.0
CC74.Bin_BLeft_Full,0.0,0.0,951.0740000000002,730.5550000000001,559.8050000000001,975.8050000000001,993.711,1765.3059999999998,265.244,255.249,444.586,711.689,1428.0979999999997,575.2969999999999,568.3309999999999,644.737,635.588,615.631,695.646,911.0420000000001,720.5649999999999,884.83,747.011,1425.5439999999999
CC74.Bin_BRight_Full,0.0,0.0,548.9759999999999,860.7539999999999,663.298,854.839,550.518,1314.0810000000001,90.023,225.205,580.412,957.7449999999998,1477.862,410.308,549.4639999999999,664.5509999999998,425.65500000000003,435.236,991.9149999999998,1003.6700000000001,829.6550000000001,1151.492,748.1469999999999,870.6120000000001
CC75.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,85.018,0.0,443.962,266.616,0.0,0.0,115.084,0.0,0.0,35.023,0.0,0.0,255.189,0.0,0.0,860.489,0.0,0.0,390.378
CC76.Bin_BLeft_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC76.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC77.Bin_BRight_Full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
