alarm_id,07:00_08:00_count,07:00_08:00_downtime,08:00_09:00_count,08:00_09:00_downtime,09:00_10:00_count,09:00_10:00_downtime,10:00_11:00_count,10:00_11:00_downtime,11:00_12:00_count,11:00_12:00_downtime,12:00_13:00_count,12:00_13:00_downtime,13:00_14:00_count,13:00_14:00_downtime,14:00_15:00_count,14:00_15:00_downtime,15:00_16:00_count,15:00_16:00_downtime,16:00_17:00_count,16:00_17:00_downtime,17:00_18:00_count,17:00_18:00_downtime,18:00_19:00_count,18:00_19:00_downtime,19:00_20:00_count,19:00_20:00_downtime,20:00_21:00_count,20:00_21:00_downtime,21:00_22:00_count,21:00_22:00_downtime,22:00_23:00_count,22:00_23:00_downtime,23:00_00:00_count,23:00_00:00_downtime,00:00_01:00_count,00:00_01:00_downtime,01:00_02:00_count,01:00_02:00_downtime,02:00_03:00_count,02:00_03:00_downtime,03:00_04:00_count,03:00_04:00_downtime,04:00_05:00_count,04:00_05:00_downtime,05:00_06:00_count,05:00_06:00_downtime,06:00_07:00_count,06:00_07:00_downtime
CC21.Bin_BRight_Full,1,0 days 00:03:09.135000,0,0 days 00:00:00,1,0 days 00:00:42.090000,1,0 days 00:01:22.362000,0,0 days 00:00:00,2,0 days 00:05:40.739000,1,0 days 00:01:41.216000,0,0 days 00:06:47.137000,0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:01:24.102000,1,0 days 00:00:40.038000,2,0 days 00:21:02.147000,1,0 days 00:00:24.183000,0,0 days 00:00:00,1,0 days 00:02:22.244000,1,0 days 00:02:32.124000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC22.Bin_BLeft_Full,1,0 days 00:00:40.038000,0,0 days 00:00:00,1,0 days 00:00:49.029000,0,0 days 00:00:00,1,0 days 00:01:35.129000,1,0 days 00:02:47.729000,0,0 days 00:03:43.742000,1,0 days 00:00:47.035000,1,0 days 00:01:51.087000,0,0 days 00:00:00,1,0 days 00:02:30.411000,1,0 days 00:01:00.157000,1,0 days 00:07:51.117000,1,0 days 00:01:05.016999999,0,0 days 00:00:00,1,0 days 00:01:16.076000,1,0 days 00:02:46.104000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC22.Bin_BRight_Full,0,0 days 00:00:00,1,0 days 00:00:57.021000,1,0 days 00:01:38.281000,0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:03:43.264000,1,0 days 00:03:47.678000,0,0 days 00:05:00.110000,1,0 days 00:00:03.003000,0,0 days 00:00:00,1,0 days 00:01:41.031000,1,0 days 00:01:24.157000,1,0 days 00:04:11.373000,1,0 days 00:03:57.597000,1,0 days 00:05:03.310000,1,0 days 00:04:39.222000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC23.Bin_BLeft_Full,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC23.Bin_BRight_Full,1,0 days 00:03:03.431000,0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:01:21.129000,0,0 days 00:00:00,1,0 days 00:06:25.751000,2,0 days 00:06:07.445000,1,0 days 00:02:30.297000,1,0 days 00:00:44.036000,0,0 days 00:00:00,1,0 days 00:00:39.034000,1,0 days 00:00:49.049000,2,0 days 00:10:18.765000,1,0 days 00:00:27.037000,0,0 days 00:00:00,1,0 days 00:01:06.049000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC24.Bin_BLeft_Full,0,0 days 00:00:00,1,0 days 00:00:45.002000,0,0 days 00:00:00,0,0 days 00:00:00,1,0 days 00:01:30.335000,1,0 days 00:02:10.112000,1,0 days 00:11:27.963000,1,0 days 00:07:24.893000,1,0 days 00:00:44.071000,0,0 days 00:00:00,1,0 days 00:05:31.179000,1,0 days 00:03:20.115000,1,0 days 00:03:38.368000,1,0 days 00:06:29.648000,1,0 days 00:03:01.268000,1,0 days 00:01:51.163000,1,0 days 00:10:20.929000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC24.Bin_BRight_Full,2,0 days 00:00:56.109000,0,0 days 00:00:00,1,0 days 00:00:02.995000,0,0 days 00:00:00,0,0 days 00:00:00,2,0 days 00:01:07.151000,1,0 days 00:04:23.338000,1,0 days 00:29:39.645000,0,0 days 00:00:00,1,0 days 00:02:14.150000,1,0 days 00:02:53.215000,1,0 days 00:02:46.203000,1,0 days 00:14:03.933000,1,0 days 00:01:02.365000,1,0 days 00:01:35.115000,1,0 days 00:03:47.383000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC25.Bin_BLeft_Full,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC25.Bin_BRight_Full,1,0 days 00:01:59.142000,1,0 days 00:01:34.162000,0,0 days 00:00:00,1,0 days 00:05:00.388000,0,0 days 00:00:00,2,0 days 00:03:37.175000,0,0 days 00:03:03.415000,2,0 days 00:01:51.930000,0,0 days 00:00:29.189000,0,0 days 00:00:00,1,0 days 00:06:53.447000,2,0 days 00:02:49.181000,1,0 days 00:17:37.938000,1,0 days 00:03:08.330000,1,0 days 00:02:33.350000,2,0 days 00:04:45.570000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
CC26.Bin_BLeft_Full,1,0 days 00:03:33.223000,1,0 days 00:01:14.048000,1,0 days 00:02:45.231000,1,0 days 00:01:44.231000,0,0 days 00:00:00,2,0 days 00:05:57.518000,1,0 days 00:07:51.722000,2,0 days 00:12:33.028000,0,0 days 00:00:00,1,0 days 00:00:48.122000,1,0 days 00:03:26.292000,1,0 days 00:02:00.049000,1,0 days 00:02:56.382000,1,0 days 00:03:26.256000,1,0 days 00:06:35.498000,1,0 days 00:00:31.007000,1,0 days 00:02:17.024000,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00,0,0 days 00:00:00
